_func_name, asm, assignment, bitwise, branch_case, branch_if, branch_ternary, branch_total, broken_dowhile, cast, comma, cond_depth, fix, goto, if_depth, if_in_loop, invalid_form, invalid_funccall, invalid_ir, invalid_jump, label, loc, local, lol, loop_depth, loop_dowhile, loop_for, loop_total, loop_while, operator, prop_branch_case, prop_branch_if, prop_branch_ternary, prop_loop_dowhile, prop_loop_for, prop_loop_while, ref_direct, ref_structured, strcmp, token, undefined, unimplemented, unknown, unknown_op, 
dl_relocate_static_pie, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 
dbg_usage, 0, 56, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 79, 1, 19, 0, 0, 0, 0, 0, 3, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0.0, 265, 0, 0, 0, 0, 
dbg_main, 0, 28, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 52, 0, 13, 0, 0, 0, 0, 0, 6, 0.0, 1.0, 0.0, 0, 0, 0, 9, 3, 0, 203, 1, 0, 0, 0, 
dbg_close_stdout_set_file_name, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 15, 0, 0, 0, 0, 
dbg_close_stdout_set_ignore_EPIPE, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 14, 0, 0, 0, 0, 
dbg_close_stdout, 0, 16, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 40, 0, 7, 0, 0, 0, 0, 0, 5, 0.0, 1.0, 0.0, 0, 0, 0, 7, 5, 0, 142, 0, 0, 0, 0, 
dbg_parse_long_options, 0, 49, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 80, 14, 45, 0, 0, 0, 0, 0, 17, 0.0, 1.0, 0.0, 0, 0, 0, 15, 3, 0, 269, 0, 0, 0, 0, 
dbg_parse_gnu_standard_options_only, 0, 49, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 83, 14, 47, 0, 0, 0, 0, 0, 19, 0.0, 1.0, 0.0, 0, 0, 0, 16, 3, 0, 280, 0, 0, 0, 0, 
dbg_set_program_name, 0, 16, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 34, 0, 16, 0, 0, 0, 0, 0, 9, 0.0, 1.0, 0.0, 0, 0, 0, 4, 4, 0.0, 128, 0, 0, 0, 0, 
dbg_clone_quoting_options, 0, 12, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 20, 1, 11, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 2, 0, 0, 58, 0, 0, 0, 0, 
dbg_get_quoting_style, 0, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0, 7, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 26, 0, 0, 0, 0, 
dbg_set_quoting_style, 0, 5, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 11, 0, 8, 0, 0, 0, 0, 0, 1, 0.0, 1.0, 0.0, 0, 0, 0, 1, 0, 0, 31, 0, 0, 0, 0, 
set_char_quoting, 0, 19, 7, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 25, 0, 9, 0, 0, 0, 0, 0, 17, 0.0, 1.0, 0.0, 0, 0, 0, 3, 0, 0, 93, 0, 0, 0, 0, 
